SubjectNumber,SubjectOrder,Condition,item,RESP,CRESP,ACC,RespNum,Test,TestType,Phrase,PhraseNum
71,7,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
72,8,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
73,9,SixtyOld,resp4test1,2,1,0,resp4,test1,Predictive,NonPhrase,NA
74,10,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
75,11,SixtyOld,resp4test1,2,1,0,resp4,test1,Predictive,NonPhrase,NA
76,12,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
92,13,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
95,14,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
102,15,SixtyOld,resp4test1,2,1,0,resp4,test1,Predictive,NonPhrase,NA
106,16,SixtyOld,resp4test1,2,1,0,resp4,test1,Predictive,NonPhrase,NA
107,17,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
108,18,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
109,19,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
111,20,SixtyOld,resp4test1,1,1,1,resp4,test1,Predictive,NonPhrase,NA
77,1,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
78,2,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
79,3,EightyNew,resp5test1,2,1,0,resp5,test1,Predictive,NonPhrase,NA
81,4,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
82,5,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
83,6,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
84,7,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
85,8,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
86,9,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
87,10,EightyNew,resp5test1,2,1,0,resp5,test1,Predictive,NonPhrase,NA
88,11,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
90,12,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
91,13,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
94,14,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
96,15,EightyNew,resp5test1,2,1,0,resp5,test1,Predictive,NonPhrase,NA
101,16,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
103,17,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
104,18,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
105,19,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
110,20,EightyNew,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
30,1,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
31,2,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
32,3,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
33,4,EightyOld,resp5test1,2,1,0,resp5,test1,Predictive,NonPhrase,NA
34,5,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
35,6,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
36,7,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
37,8,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
38,9,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
39,10,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
47,11,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
48,12,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
50,13,EightyOld,resp5test1,2,1,0,resp5,test1,Predictive,NonPhrase,NA
55,14,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
56,15,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
59,16,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
60,17,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
62,18,EightyOld,resp5test1,2,1,0,resp5,test1,Predictive,NonPhrase,NA
65,19,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
100,20,EightyOld,resp5test1,1,1,1,resp5,test1,Predictive,NonPhrase,NA
63,1,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
64,2,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
67,3,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
68,4,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
69,5,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
70,6,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
71,7,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
72,8,SixtyOld,resp5test1,2,2,1,resp5,test1,Predictive,NonPhrase,NA
73,9,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
74,10,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
75,11,SixtyOld,resp5test1,2,2,1,resp5,test1,Predictive,NonPhrase,NA
76,12,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
92,13,SixtyOld,resp5test1,2,2,1,resp5,test1,Predictive,NonPhrase,NA
95,14,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
102,15,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
106,16,SixtyOld,resp5test1,2,2,1,resp5,test1,Predictive,NonPhrase,NA
107,17,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
108,18,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
109,19,SixtyOld,resp5test1,1,2,0,resp5,test1,Predictive,NonPhrase,NA
111,20,SixtyOld,resp5test1,2,2,1,resp5,test1,Predictive,NonPhrase,NA
77,1,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
78,2,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
79,3,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
81,4,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
82,5,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
83,6,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
84,7,EightyNew,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
85,8,EightyNew,resp6test1,1,2,0,resp6,test1,Predictive,NonPhrase,NA
86,9,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
87,10,EightyNew,resp6test1,2,2,1,resp6,test1,Predictive,NonPhrase,NA
